,ID_GEN,OBJECTID,UBIGEO_DPTO,DEPARTAMENTO,UBIGEO_PROV,PROVINCIA,UBIGEO_DIST,DISTRITO,NOTIF_CORREO_ENV,PTOCRIT_INEXISTENTE,PTOCRIT_EXISTENTE,REALIZO_LIMP,PROGRAMO_LIMP,FECHA_TOMA,HORA_FOTO,DIF_DIA,DIF_HORA,LONGITUD,LATITUD,ESTADO_ALERTA,ENTIDAD_FISC_AMB,TIPO_EFA
0,1,64370,10,HUANUCO,1001,HUANUCO,100102,AMARILIS,,,,,,24/08/2021,12:24:18,0,3,"-76,20664497","-9,88762596",Alerta no válida,Municipalidad Distrital de Amarilis,Local
1,2,48067,10,HUANUCO,1001,HUANUCO,100102,AMARILIS,1,,,,,17/06/2021,12:05:21,0,1,"-76,25060703","-9,94228965",Alerta válida,Municipalidad Distrital de Amarilis,Local
2,3,81352,15,LIMA,1501,LIMA,150102,ANCON,,,,,,14/11/2021,17:45:08,0,0,"-77,1216216","-11,8185133",Alerta pendiente validación,Municipalidad Distrital de Ancon,Local
3,4,81356,15,LIMA,1501,LIMA,150102,ANCON,,,,,,14/11/2021,18:44:05,0,0,"-77,13522086","-11,81166325",Alerta pendiente validación,Municipalidad Distrital de Ancon,Local
4,5,50007,15,LIMA,1505,CAÑETE,150502,ASIA,,,,,,25/06/2021,17:31:31,0,0,"-76,56814701","-12,80125036",Alerta no válida,Municipalidad Distrital de Asia,Local
5,6,45797,15,LIMA,1501,LIMA,150106,CARABAYLLO,,,,,,06/06/2021,14:19:06,0,18,"-77,0198205","-11,8805325",Alerta no válida,Municipalidad Distrital de Carabayllo,Local
6,7,45153,15,LIMA,1501,LIMA,150111,EL AGUSTINO,,,,,,28/05/2021,11:44:28,0,5,"-76,97903155","-12,05493426",Alerta no válida,Municipalidad Distrital de El Agustino,Local
7,8,78802,1,AMAZONAS,107,UTCUBAMBA,10704,EL MILAGRO,,,,,,29/10/2021,10:11:03,0,2,"-78,561255","-5,63646167",Alerta válida,Municipalidad Distrital de El Milagro,Local
8,9,63394,9,HUANCAVELICA,903,ANGARAES,90306,CONGALLA,,,,,,20/08/2021,15:42:30,0,1,"-74,49205277","-12,95643269",Alerta no válida,Municipalidad Distrital de Congalla,Local
9,10,58918,15,LIMA,1505,CAÑETE,150507,IMPERIAL,,,,,,01/08/2021,16:33:52,0,17,"-76,35476802","-13,05827324",Alerta no válida,Municipalidad Distrital de Imperial,Local
10,11,80070,15,LIMA,1501,LIMA,150117,LOS OLIVOS,,,,,,06/11/2021,17:11:38,1,41,"-77,07075934","-12,00561355",Alerta válida,Municipalidad Distrital de Los Olivos,Local
11,12,45171,4,AREQUIPA,401,AREQUIPA,40109,MARIANO MELGAR,,,,,,28/05/2021,12:01:22,0,5,"-71,50963732","-16,4066478",Alerta no válida,Municipalidad Distrital de Mariano Melgar,Local
12,13,55073,22,SAN MARTIN,2209,SAN MARTIN,220910,MORALES,1,,,,,16/07/2021,06:34:21,0,2,"-76,38242207","-6,46809407",Alerta válida,Municipalidad Distrital de Morales,Local
13,14,73638,22,SAN MARTIN,2209,SAN MARTIN,220910,MORALES,1,,,,,29/09/2021,11:13:15,0,1,"-76,37677987","-6,47118753",Alerta válida,Municipalidad Distrital de Morales,Local
14,15,56674,2,ANCASH,218,SANTA,21809,NUEVO CHIMBOTE,1,N,,,,24/07/2021,10:05:56,80,1925,"-78,51052088","-9,11470127",Atención ejecutada por Municipalidad,Municipalidad Distrital de Nuevo Chimbote,Local
15,16,61498,2,ANCASH,218,SANTA,21809,NUEVO CHIMBOTE,1,N,,,,14/08/2021,17:24:01,58,1414,"-78,5138651","-9,1140762",Atención ejecutada por Municipalidad,Municipalidad Distrital de Nuevo Chimbote,Local
16,17,60849,8,CUSCO,801,CUSCO,80104,SAN JERONIMO,1,,,,,11/08/2021,09:49:05,0,1,"-71,90312443","-13,53293296",Alerta válida,Municipalidad Distrital de San Jeronimo,Local
17,18,69801,8,CUSCO,801,CUSCO,80104,SAN JERONIMO,1,,,,,15/09/2021,12:12:41,0,2,"-71,9029848","-13,5328724",Alerta válida,Municipalidad Distrital de San Jeronimo,Local
18,19,42914,15,LIMA,1501,LIMA,150123,PACHACAMAC,1,S,S,S,S,03/05/2021,14:21:56,8,192,"-76,86020065","-12,22778218",Atención ejecutada por Municipalidad,Municipalidad Distrital de Pachacamac,Local
